title,item_id,model_id,site,link_online_date,sku_online_date,l2,l3,l4,img,link,price_calc,price_front,ado_61_90,ado_31_60,ado_30,ado_7_14,ado_7
5个金属蜘蛛侠星星气球套装（蓝色或红色）+ 1或2个蓝色数字,51914109029,361218141624,BR,2026-07-16,2026-07-16,派对用品,气球,,https://cf.shopee.com.br/file/br-11134207-820lr-mqqaa50p222p31,http://shopee.com.br/product/457402009/51914109029,-0.1,5.24,,,3.07,3.33,8.43
一套 25 毫升的杯子（20/50/100/200 个），内装亚克力 brigadeiro（巴西巧克力软糖）+ 100 个迷你勺子。,58214688528,219192110552,BR,2026-07-22,2026-07-22,派对用品,一次性餐具,,https://cf.shopee.com.br/file/sg-11134201-825ak-mqxkpkcko935d7,http://shopee.com.br/product/1734862186/58214688528,-34.2,2.96,,,9.89,5.17,35.14
Agar.Shop 高品质皇冠+绶带套装生日装饰,24033139448,341281459054,PH,2024-07-06,2026-07-27,派对用品,腰带,,https://cf.shopee.ph/file/ph-11134207-820l7-mr5p2aktt91ob1,http://shopee.ph/product/35340243/24033139448,0.48,1.45,5.78,4.96,7.92,9.4,9.42
派对装饰套装：1 个圆形蛋糕架（22 厘米）+ 2 个迷你蛋糕 + 2 个托盘/糖果盘,23297738084,277752849945,BR,2024-08-28,2026-07-03,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820m7-mq7opuo6t43n96,http://shopee.com.br/product/329436183/23297738084,5.84,7.29,21.77,28.26,18.21,12.17,27.0
亚克力礼品管 13厘米 - 用于装饰、儿童派对、调料罐 - 10个、20个、30个、40个和50个装,22294882115,238810873917,BR,2026-02-24,2026-07-29,派对用品,其他的,,https://cf.shopee.com.br/file/sg-11134201-825aw-mr7v30m59w5g7f,http://shopee.com.br/product/820641225/22294882115,-14.69,3.41,0.96,,8.82,,35.29
LED筒灯吸顶灯针形灯三色表面安装圆形筒灯室内照明3色220V适用于客厅家居照明房间卧室,22714295101,361291110243,PH,2022-12-26,2026-07-29,灯具,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,https://cf.shopee.ph/file/cn-11134207-820l4-mr8evzojjcas94,http://shopee.ph/product/923290499/22714295101,0.27,2.92,0.76,3.49,3.35,1.5,4.0
创阳射灯吸顶灯 LED嵌入式筒灯 三色可折叠筒灯 220V电源 适用于客厅卧室,21759788760,311212568764,VN,2022-11-03,2026-07-15,灯具,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,https://cf.shopee.vn/file/cn-11134207-820l4-mqoinoxce6fh1c,http://shopee.vn/product/399316061/21759788760,5.58,4.95,2.64,2.39,3.15,3.0,3.14
T8 LED 游乐场灯，18 瓦，彩色霓虹灯，防水，适用于店面装饰、市场摊位和商店招牌。,53813013152,346128616077,TH,2026-06-29,2026-06-29,灯具,应急及标识照明,指示牌/灯箱招牌/标识,https://cf.shopee.co.th/file/sg-11134201-824jh-mq1etmw9zgn41a,http://shopee.co.th/product/1820921733/53813013152,-9.19,1.35,,0.04,2.18,0.83,4.14
12W 20W 30W COB轨道灯，经典圆形LED灯管，高亮度，适用于服装店、餐厅、咖啡馆和家庭。,56412770979,376133774651,VN,2026-06-25,2026-06-30,灯具,室内固定照明-其他,筒灯/射灯/嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,https://cf.shopee.vn/file/vn-11134207-81ztc-mpvo6bzcm96p0b,http://shopee.vn/product/1581486452/56412770979,-9.43,2.38,,0.69,9.96,11.5,12.5
2个装饰性LED球形灯，月球银河太阳系宇航员水晶球,23893729095,189624787947,BR,2025-09-01,2026-07-27,灯具,装饰氛围灯,灯串/灯带/窗帘灯/装饰灯/舞台灯,https://cf.shopee.com.br/file/br-11134207-820l6-mr5d7t2y134508,http://shopee.com.br/product/1220163366/23893729095,-44.7,5.86,3.79,7.23,26.48,31.33,38.79
100/50气球套装，适用于派对、生日、装饰和拱门 - 7英寸,49213215421,262746208292,BR,2026-07-01,2026-07-01,派对用品,气球,,https://cf.shopee.com.br/file/br-11134207-820lj-mq4x5j8kmark71,http://shopee.com.br/product/369669985/49213215421,-8.04,3.54,,0.04,14.74,17.5,18.96
海洋动物气球：鱼、章鱼、河豚——是可爱派对装饰的完美之选 (F),5277439691,254278049139,TH,2021-01-21,2026-07-03,派对用品,气球,,https://cf.shopee.co.th/file/sg-11134201-825ab-mqyxde6m330h8b,http://shopee.co.th/product/54031427/5277439691,-1.79,0.63,0.12,0.45,2.43,1.89,3.26
户外太阳能泛光灯 IP67 防水 LED 运动传感器 遥控 高亮度,24008371736,356281396241,PH,2024-01-13,2026-07-27,灯具,太阳能灯,太阳能投光灯,https://cf.shopee.ph/file/ph-11134207-820l7-mr5pegeodatg39,http://shopee.ph/product/794577330/24008371736,62.38,18.72,12.65,29.81,50.02,61.12,80.43
PP塑料杯（50个）800/900/1000毫升/1300毫升，带盖（直径120毫米）,50662193445,341206741532,VN,2026-06-14,2026-07-14,派对用品,一次性餐具,,https://cf.shopee.vn/file/vn-11134207-81ztc-mqn37pb11gqo55,http://shopee.vn/product/1839950630/50662193445,1.62,4.0,,0.98,3.24,1.58,4.43
饮品菜单标牌套装#1（带白色圆圈）。适用于商店和咖啡馆的覆膜海报标牌。,53906550819,326204559355,TH,2026-02-28,2026-07-14,派对用品,背景幕布和横幅,,https://cf.shopee.co.th/file/th-11134207-81ztm-mqmitxv0gnpd93,http://shopee.co.th/product/28701341/53906550819,1.64,2.37,3.83,8.56,5.57,4.07,5.51
20至70盒+印有趣味快乐短语的口香糖 - 送给FantasyArts客户的礼物,22197642615,179417527544,BR,2024-07-10,2026-06-28,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-7r98o-ly1m26l02dvj4c,http://shopee.com.br/product/378872136/22197642615,0.49,6.52,0.07,0.77,3.66,3.75,4.0
5英寸、10英寸、12英寸加厚乳胶气球，生日婚礼派对装饰氦气球，马来西亚,11349261655,396255905143,MY,2021-09-16,2026-07-23,派对用品,气球,,https://cf.shopee.com.my/file/my-11134207-820l5-mqzhjzkb8w7a86,http://shopee.com.my/product/77409795/11349261655,-3.35,0.49,3.56,6.4,4.46,3.14,6.43
OOKAS 床头灯，自动感应灯，带 USB 充电功能的 LED 壁灯，适用于卧室、走廊、楼梯和浴室。,42667330302,441243173233,TH,2025-09-03,2026-07-21,灯具,室内移动照明,感应灯/磁吸灯/粘贴灯/橱柜灯/衣柜灯/走廊灯,https://cf.shopee.co.th/file/th-11134207-81ztq-mqx1i4iefbwj74,http://shopee.co.th/product/1091876779/42667330302,17.39,8.67,2.97,6.58,5.63,3.01,7.4
30-50个圆形微波炉适用容器，带盖，塑料盒，一次性容器，容量300-3500毫升,50864166620,411220793299,PH,2026-07-17,2026-07-17,派对用品,一次性餐具,,https://cf.shopee.ph/file/ph-11134207-820lh-mrdxhpqimtc50c,http://shopee.ph/product/1873289073/50864166620,-6.45,2.77,,,2.99,1.18,10.9
30 个带边框的椭圆形软木塞，尺寸为 13x18 毫米,19943912419,228809513903,BR,2022-09-09,2026-07-25,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820ld-mr36pv5c5q84b9,http://shopee.com.br/product/284446187/19943912419,-18.57,2.15,3.43,6.1,9.2,8.08,10.69
TBF 2026年独立日海报 | 高级PVC防水教育海报 | 马来西亚爱国主义墙饰,28488329751,341206422411,MY,2025-07-04,2026-07-14,派对用品,背景幕布和横幅,,https://cf.shopee.com.my/file/my-11134207-820l6-mqn1kgeddude6b,http://shopee.com.my/product/344284946/28488329751,0.85,1.18,,0.02,3.25,4.15,8.94
打火机 - 5个装和10个装两种规格，有带点火器和不带点火器的两种。,55513731463,426187339285,PH,2026-07-10,2026-07-10,其他,,,https://cf.shopee.ph/file/ph-11134207-820l7-mqg23echthqn70,http://shopee.ph/product/1774967603/55513731463,-11.46,1.31,,,3.32,5.08,7.84
12W 20W 30W COB轨道灯，经典圆形LED灯管，高亮度，适用于服装店、餐厅、咖啡馆和家庭。,56412770979,376133774638,VN,2026-06-25,2026-06-30,灯具,室内固定照明-其他,筒灯/射灯/嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,https://cf.shopee.vn/file/vn-11134207-81ztc-mpvo664jyknj4c,http://shopee.vn/product/1581486452/56412770979,-7.33,2.95,,0.69,9.96,11.5,12.5
3D LED数字装饰灯，电池供电，白色，16厘米/21厘米/22厘米,22894244215,209623915718,BR,2025-07-22,2026-07-07,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820me-mqdk630wqz289f,http://shopee.com.br/product/424781291/22894244215,-3.03,5.91,5.05,6.61,9.98,6.42,13.43
10/20/30/40/50支装PET管（1号），带透明盖（R28），适用于派对礼品和糖果,17804585440,431307837470,BR,2022-02-17,2026-08-01,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820m4-mrcy818jgnwld3,http://shopee.com.br/product/395155703/17804585440,-10.45,4.31,26.17,40.31,48.84,44.64,62.08
（快速货到付款）E27 LED灯泡座 E27底座吊灯底座圆形灯座,25059745216,234719776782,PH,2024-01-21,2026-07-16,灯具,灯具配件,灯带配件/控制器,https://cf.shopee.ph/file/ph-11134207-820lg-mqpkzzylfk0bcb,http://shopee.ph/product/341793153/25059745216,-17.96,0.41,3.91,5.27,3.81,3.57,5.21
【50个装】TIDY U型杯 95mm 带盖 12/16/22盎司 一次性奶茶咖啡塑料杯,45363265958,302748236331,PH,2026-07-02,2026-07-02,派对用品,一次性餐具,,https://cf.shopee.ph/file/cn-11134207-820l4-mq5wsp2vc7i96c,http://shopee.ph/product/1440935454/45363265958,-64.91,2.91,,0.02,20.96,30.33,46.29
YOWXII 太阳能壁灯，柔和黄光，多色，防水防雨，适用于花园装饰。,41362706876,411234961647,TH,2025-08-14,2026-07-20,灯具,太阳能灯,太阳能壁灯,https://cf.shopee.co.th/file/th-11134207-81ztc-mqvnequgvs3kc5,http://shopee.co.th/product/1485619524/41362706876,8.99,6.27,14.65,15.68,16.29,9.08,17.17
金属心形气球，蓝色，24厘米，父亲节，“爸爸，我爱你，我的英雄”，派对装饰,58213787805,229446002661,BR,2026-07-07,2026-07-07,派对用品,气球,,https://cf.shopee.com.br/file/sg-11134201-8259l-mqc8bqx87nri3d,http://shopee.com.br/product/1696392283/58213787805,-1.43,4.74,,,8.21,6.67,22.86
个性化松木戒指盒，激光雕刻姓名和日期，适用于婚礼和订婚,19364865902,199624302431,BR,2022-11-25,2026-07-16,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820lq-mqq5dlq7d69vb6,http://shopee.com.br/product/395239123/19364865902,6.37,7.89,2.04,1.78,2.11,1.67,2.29
瓢虫主题派对礼品套装，含80/160件物品（不含姓名） - 24小时送达,42856938877,262787336111,BR,2025-07-02,2026-07-16,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-7r98o-mbnzq4o6l93tab,http://shopee.com.br/product/578785010/42856938877,-5.85,5.35,2.79,1.63,2.43,1.17,4.14
【每包25个】一次性勺子/叉子/勺叉餐具，可重复使用勺子 kutsara 勺子和叉子,52863620552,321222574580,PH,2026-07-08,2026-07-17,派对用品,一次性餐具,,https://cf.shopee.ph/file/ph-11134207-820la-mqen7ugzh24if5,http://shopee.ph/product/1302321365/52863620552,-15.83,0.64,,,6.83,7.0,10.33
30 个带边框的椭圆形软木塞，尺寸为 13x18 毫米,19943912419,228809513904,BR,2022-09-09,2026-07-25,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820lq-mr36pv5c4bnof6,http://shopee.com.br/product/284446187/19943912419,-18.98,2.15,3.43,6.1,9.2,8.08,10.69
5个封装气球套装 - 1个18英寸泡泡气球 + 1个16英寸气球,22594819679,149793399094,BR,2026-01-15,2026-07-06,派对用品,气球,,https://cf.shopee.com.br/file/br-11134207-820ld-mqaza0gynoxvbf,http://shopee.com.br/product/1032217049/22594819679,8.69,6.3,9.52,15.85,44.42,40.83,54.95
100个豪华花形纸糖果杯，适用于婚礼和周年纪念日,21299572641,228809624368,BR,2025-01-06,2026-07-28,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820m5-mr6s9yswq3gmff,http://shopee.com.br/product/1429158050/21299572641,14.58,9.47,3.46,3.52,4.39,4.33,5.43
1 x 2 Meter Rain Foil Curtain for Party Wall Decoration Backdrops Banners Hiasan Belon Tirai Hiasan Dinding 派对布置背景 背景设计,40132116718,311130195509,MY,2026-06-29,2026-06-29,派对用品,背景幕布和横幅,,https://cf.shopee.com.my/file/my-11134207-820lg-mq1l1usn93bf2d,http://shopee.com.my/product/1063909647/40132116718,-5.12,0.57,,0.19,4.47,2.9,7.78
"SCE 20W 30W 40W 50W LED灯泡，超亮LED灯泡，30,000小时寿命，正品SCG-BT",28855195275,421189145519,VN,2024-07-12,2026-07-10,灯具,灯泡/灯管,灯泡/灯管,https://cf.shopee.vn/file/vn-11134207-7ra0g-m9gv5dv0h11e22,http://shopee.vn/product/1306011292/28855195275,-0.22,4.91,2.47,4.24,4.5,4.78,5.17
太阳能泛光灯 太阳能灯 户外防水 IP67 室内 LED 灯泡泛光灯 带遥控器,19285656603,406216311695,PH,2023-10-25,2026-07-16,灯具,太阳能灯,太阳能灯泡/灯管,https://cf.shopee.ph/file/ph-11134207-820lc-mqygdwhzgn4243,http://shopee.ph/product/823861135/19285656603,58.36,18.41,,0.14,7.41,11.67,13.8
5/10/20/50 个 24 英寸（60 厘米）水晶泡泡气球套装，适用于派对和活动装饰,58214118463,199191665999,BR,2026-07-13,2026-07-13,派对用品,气球,,https://cf.shopee.com.br/file/br-11134207-820l4-mqkwg1lth81s28,http://shopee.com.br/product/481485318/58214118463,-6.76,2.96,,,7.18,10.83,16.71
（1个）SL-508 黄色灯光，装饰灯，太阳能花园灯，太阳能草坪灯，1个LED灯，路径灯,29961566911,441223722940,TH,2024-09-17,2026-07-18,灯具,太阳能灯,太阳能装饰灯,https://cf.shopee.co.th/file/th-11134207-81zti-mqruhgh3w9ojf6,http://shopee.co.th/product/90305/29961566911,16.64,8.4,0.92,1.97,3.19,4.36,4.69
TBF 2026年独立日海报 | 高级PVC防水教育海报 | 马来西亚爱国主义墙饰,28488329751,341206422426,MY,2025-07-04,2026-07-14,派对用品,背景幕布和横幅,,https://cf.shopee.com.my/file/my-11134207-820la-mqn1kxql03rie7,http://shopee.com.my/product/344284946/28488329751,-1.12,1.58,,0.02,3.25,4.15,8.94
生日派对装饰套装（117 件）：气球、金属帘,58213665602,239445875534,BR,2026-07-04,2026-07-04,派对用品,气球,,https://cf.shopee.com.br/file/br-11134207-820mb-mq81mw0f7477c1,http://shopee.com.br/product/1384480317/58213665602,10.51,7.31,,,3.37,2.33,10.19
LED表面安装式筒灯吸顶灯射灯E27可更换灯泡220V圆形筒灯射灯适用于卧室、客厅、厨房、商店等场所的照明,23114295280,441230946138,PH,2022-12-26,2026-07-19,灯具,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,https://cf.shopee.ph/file/cn-11134207-820l4-mqumf4y2l0jmb7,http://shopee.ph/product/923290499/23114295280,15.63,9.61,10.27,10.86,11.14,9.97,10.86
桌面派对背景幕布 - 父亲节快乐 - 升华印花面料，带松紧带包边 - 50x50厘米,58214232381,238809923031,BR,2026-07-14,2026-07-14,派对用品,背景幕布和横幅,,https://cf.shopee.com.br/file/sg-11134201-8258w-mqnj5bmbmjnnf2,http://shopee.com.br/product/1724395837/58214232381,-16.18,3.85,,,13.43,22.25,28.71
8盎司/12盎司/16盎司纸杯/带盖单层/双层波纹一次性咖啡/热甜玉米纸杯/加厚,5045028308,249286593349,MY,2020-08-05,2026-07-12,派对用品,一次性餐具,,https://cf.shopee.com.my/file/my-11134207-820l6-mqkcaolbx8ge7d,http://shopee.com.my/product/121532636/5045028308,-5.73,1.3,1.89,1.65,2.33,2.02,2.21
现成的烤虾串图案乙烯基横幅。多种尺寸可选。可自由折叠边缘并带有金属孔眼。即插即用！❗️（仅含日本国旗横幅，不含支架）,54712502198,411188964999,TH,2026-06-19,2026-07-10,派对用品,背景幕布和横幅,,https://cf.shopee.co.th/file/th-11134207-81ztn-mpnst80px3bf7e,http://shopee.co.th/product/395006922/54712502198,7.73,4.29,,1.04,2.54,2.0,2.14
[50 个] 冷饮纸杯，6.5 盎司、8 盎司、12 盎司、16 盎司、22 盎司，咖啡杯，带把手和不带把手，白色。,25672405624,326235028006,TH,2024-04-04,2026-07-20,派对用品,一次性餐具,,https://cf.shopee.co.th/file/th-11134207-81ztq-mqvnbc9woqh493,http://shopee.co.th/product/1020888983/25672405624,-0.11,2.4,21.04,21.83,23.21,23.21,28.93
一套40只3D蝴蝶，魔法花园主题，3x3厘米，适用于儿童派对装饰、生日背景、派对礼品，色彩鲜艳，轻巧便携,25548102554,139513418241,BR,2026-04-16,2026-08-02,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820lx-mn3n2o0z8fluab,http://shopee.com.br/product/445215136/25548102554,-14.01,3.36,3.12,2.3,4.12,3.5,6.57
【批量购买可享折扣】1厘米宽，1.9米长的仿毛皮绳，用于制作中秋节灯笼。,45557684585,406166048460,VN,2026-03-25,2026-07-06,其他,,,https://cf.shopee.vn/file/vn-11134207-81ztc-mqbia9lm7xn234,http://shopee.vn/product/602502085/45557684585,-11.12,0.35,0.29,2.51,4.38,5.0,5.06
桌面派对背景幕布 - 父亲节快乐 - 升华印花面料，带松紧带包边 - 50x50厘米,58214232381,238809923030,BR,2026-07-14,2026-07-14,派对用品,背景幕布和横幅,,https://cf.shopee.com.br/file/sg-11134201-8258r-mqnj5bm1ws976e,http://shopee.com.br/product/1724395837/58214232381,-16.19,3.85,,,13.43,22.25,28.71
完整活动套装 - 7 件套 - 适用于生日派对、婚礼、性别揭晓派对、甜品桌,23899016019,396142413813,BR,2025-10-16,2026-07-01,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820m3-mq4swfaxrz7kf7,http://shopee.com.br/product/1229735225/23899016019,15.71,9.8,20.83,21.81,28.08,25.73,37.83
[50个装] 白色纸杯 2.5/4/6/8/10/12/16盎司 家庭饮水杯/一次性肯杜里派对生日纸杯,56153139326,346291317821,MY,2025-12-16,2026-07-29,派对用品,一次性餐具,,https://cf.shopee.com.my/file/my-11134207-820l7-mijlzf4h1hjb1e,http://shopee.com.my/product/1633961637/56153139326,-3.18,1.91,5.23,7.8,9.49,7.92,11.64
一套 25 毫升的杯子（20/50/100/200 个），内装亚克力 brigadeiro（巴西巧克力软糖）+ 100 个迷你勺子。,58214688528,219192110530,BR,2026-07-22,2026-07-22,派对用品,一次性餐具,,https://cf.shopee.com.br/file/sg-11134201-8258x-mqxkpkl7t1j58f,http://shopee.com.br/product/1734862186/58214688528,-31.56,3.56,,,9.89,5.17,35.14
OOKAS IP67 防水 3000W 3500W LED 路灯,24353950531,391146714076,VN,2023-12-19,2026-07-02,灯具,公共照明,路灯,https://cf.shopee.vn/file/vn-11134207-81ztc-mq1ml7x7dq1741,http://shopee.vn/product/1133556019/24353950531,27.66,14.04,11.21,10.85,18.41,11.83,13.57
Savage Club 💥曼谷现货，立即发货💥 Savage 斧头、长矛、骨头,5147255244,376154315801,TH,2020-08-17,2026-07-03,派对用品,其他的,,https://cf.shopee.co.th/file/th-11134207-81ztj-mq7kscofpwjl47,http://shopee.co.th/product/92353442/5147255244,-0.52,1.47,0.26,4.79,2.68,1.33,2.17
30串红星旗帜风车装饰（10米）适用于9月2日咖啡馆和商店的户外装饰,41811479002,366315644478,VN,2025-08-04,2026-08-03,派对用品,背景幕布和横幅,,https://cf.shopee.vn/file/vn-11134207-81ztc-mr061ms7ib5t18,http://shopee.vn/product/1399575144/41811479002,16.75,7.17,0.07,0.04,2.84,2.0,8.5
10/20/30 和 50 个亚克力管套装，8 厘米，适用于派对礼品。,58264665951,229446890846,BR,2026-07-21,2026-07-21,派对用品,其他的,,https://cf.shopee.com.br/file/br-11134207-820mb-mqwnnv8hx0xx4c,http://shopee.com.br/product/1690147505/58264665951,-15.21,3.23,,,9.93,8.5,31.8
饮品菜单标牌套装#1（带白色圆圈）。适用于商店和咖啡馆的覆膜海报标牌。,53906550819,326204559369,TH,2026-02-28,2026-07-14,派对用品,背景幕布和横幅,,https://cf.shopee.co.th/file/th-11134207-81ztj-mqmiudocks980b,http://shopee.co.th/product/28701341/53906550819,1.4,2.25,3.83,8.56,5.57,4.07,5.51
TBF 2026年独立日背景幕布 | 高级帆布背景幕布 | 防水活动横幅 | 4种尺寸 | 4种设计,54163899638,381258187059,MY,2026-07-13,2026-07-23,派对用品,背景幕布和横幅,,https://cf.shopee.com.my/file/my-11134207-820lc-mqzuicdyl4hx68,http://shopee.com.my/product/344284946/54163899638,15.34,5.84,,,5.36,1.89,19.82
迷你画架套装，3毫米原色中密度纤维板，LorenMix，照片架，标牌，派对装饰，工艺品,58263312945,229445521373,BR,2026-06-28,2026-06-28,派对用品,背景幕布和横幅,,https://cf.shopee.com.br/file/br-11134207-820lc-mp2ru5149wch57,http://shopee.com.br/product/604832144/58263312945,-20.43,2.95,,0.11,2.21,2.83,3.14
彩色塑料六月节横幅套装（10/50/100米）,47810129554,277743287454,BR,2026-05-07,2026-07-01,派对用品,其他的,,https://cf.shopee.com.br/file/sg-11134201-820n5-mnydtjinvp5465,http://shopee.com.br/product/504894896/47810129554,11.89,8.9,52.86,110.43,30.75,1.5,3.29
自动感应LED灯带，3种颜色，USB充电，自带背胶，安装简便，非常适合衣柜、厨房和卧室使用。,49660742190,346265445344,TH,2026-05-18,2026-07-24,灯具,装饰氛围灯,灯串/灯带/窗帘灯/装饰灯/舞台灯,https://cf.shopee.co.th/file/th-11134207-81ztn-mr11mhidawhw0b,http://shopee.co.th/product/1684561845/49660742190,7.06,5.73,,0.19,4.24,5.08,7.94
42张贴纸，无重复，西班牙+阿根廷。24小时内发货。,58214117124,109874550397,BR,2026-07-13,2026-07-16,派对用品,背景幕布和横幅,,https://cf.shopee.com.br/file/br-11134207-820lb-mqpfws4jhwxt77,http://shopee.com.br/product/1718626894/58214117124,-13.15,4.35,,,2.0,1.33,6.57
EVE LED MR16 MASTER 灯泡，220V，4W，6W（直连式）GU5.3,7696381077,351179798799,TH,2021-08-02,2026-07-08,灯具,灯泡/灯管,灯泡/灯管,https://cf.shopee.co.th/file/th-11134207-81ztm-mqevapx8hz4b99,http://shopee.co.th/product/47054265/7696381077,-2.99,1.11,6.25,7.01,5.62,4.97,8.26
这款LED灯条可随音乐闪烁，拥有1600万种颜色和声音传感器，非常适合装饰电脑、办公桌或汽车。,53756333561,406243603832,VN,2026-02-23,2026-07-21,灯具,车灯&车库灯,车灯/车库灯,https://cf.shopee.vn/file/vn-11134207-81ztc-ml20kjgf1l3985,http://shopee.vn/product/1703772268/53756333561,-9.41,2.4,1.64,4.3,3.11,3.5,3.57
5个封装气球套装 - 1个18英寸泡泡气球 + 1个16英寸气球,22594819679,149793399102,BR,2026-01-15,2026-07-06,派对用品,气球,,https://cf.shopee.com.br/file/br-11134207-820lj-mqax79icvs3m0b,http://shopee.com.br/product/1032217049/22594819679,3.85,5.12,9.52,15.85,44.42,40.83,54.95
10个装黑色塑料蒸笼，适用于炒面、糕点、烧烤、外卖，耐用可重复使用，尺寸：10、12、14、15、16、18,55613089296,436135472022,PH,2026-06-30,2026-06-30,派对用品,一次性餐具,,https://cf.shopee.ph/file/ph-11134207-820l4-mq8qsw130nwvbe,http://shopee.ph/product/1440270378/55613089296,2.27,5.12,,,2.54,,10.14
这款趣味表情口罩采用弹性、透气、舒适的网状面料制成。,57413165691,401140936901,VN,2026-07-01,2026-07-01,派对用品,派对帽和面具,,https://cf.shopee.vn/file/sg-11134201-8258l-mq4jannnur6482,http://shopee.vn/product/1193016035/57413165691,-4.81,1.03,,0.04,6.64,0.33,2.0
一次性塑料餐具派对长款 6.5 英寸勺叉 [50 个±] Sudu Garpu Panjang 白色/黑色/透明,13726051248,361232651140,MY,2021-10-11,2026-07-20,派对用品,一次性餐具,,https://cf.shopee.com.my/file/my-11134207-820le-mqwcelc41ds290,http://shopee.com.my/product/202332340/13726051248,-8.6,0.58,5.86,6.05,6.61,6.17,6.56
